dateRep,cases
2019-12-31,0
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,2
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,1
2020-02-08,0
2020-02-09,1
2020-02-10,0
2020-02-11,4
2020-02-12,0
2020-02-13,1
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,4
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,3
2020-02-29,2
2020-03-01,5
2020-03-02,13
2020-03-03,4
2020-03-04,11
2020-03-05,34
2020-03-06,30
2020-03-07,48
2020-03-08,43
2020-03-09,67
2020-03-10,48
2020-03-11,52
2020-03-12,83
2020-03-13,134
2020-03-14,117
2020-03-15,433
2020-03-16,251
2020-03-17,152
2020-03-18,407
2020-03-19,680
2020-03-20,647
2020-03-21,706
2020-03-22,1035
2020-03-23,665
2020-03-24,967
2020-03-25,1427
2020-03-26,1452
2020-03-27,2129
2020-03-28,2885
2020-03-29,2546
2020-03-30,2433
2020-03-31,2619
2020-04-01,3009
2020-04-02,4324
2020-04-03,4244
2020-04-04,4450
2020-04-05,3735
2020-04-06,5903
2020-04-07,3802
2020-04-08,3634
2020-04-09,5491
2020-04-10,4344
2020-04-11,5195
2020-04-12,8719
2020-04-13,5288
2020-04-14,4342
